dataset,title,publisher_name,distribution_link,publication_year,publisher_short,file_forma,file_format
https://www.datenportal.bmbf.de/portal/2.3.9,Ausländische Schüler/-innen an allgemeinbildenden Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.9.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/2.3.9,Ausländische Schüler/-innen an allgemeinbildenden Schulen nach Schularten und Ländern,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-2.3.9.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/bild-17,Innovationsausgaben der deutschen Wirtschaft nach Branchengruppen und Unternehmensgrößen (2013-2020),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/de/bild-17.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.12,Bevölkerung in den westdeutschen Ländern nach Alter und Geschlecht,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.12.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/0.12,Bevölkerung in den westdeutschen Ländern nach Alter und Geschlecht,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.12.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/0.12,Bevölkerung in den westdeutschen Ländern nach Alter und Geschlecht,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.12.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/0.12,Bevölkerung in den westdeutschen Ländern nach Alter und Geschlecht,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-0.12.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.8.16,Prozessinnovatorenquote mit Kostenreduktion nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.16.pdf,,BMBF,pdf,pdf
https://www.datenportal.bmbf.de/portal/1.8.16,Prozessinnovatorenquote mit Kostenreduktion nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.16.html,,BMBF,html,html
https://www.datenportal.bmbf.de/portal/1.8.16,Prozessinnovatorenquote mit Kostenreduktion nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.16.xls,,BMBF,xls,xls
https://www.datenportal.bmbf.de/portal/1.8.16,Prozessinnovatorenquote mit Kostenreduktion nach Branchengruppen und Beschäftigtengrößenklassen 1),Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.8.16.csv,,BMBF,csv,csv
https://www.datenportal.bmbf.de/portal/1.5.1,Interne FuE-Aufwendungen des Wirtschaftssektors sowie Anteil der eigenfinanzierten internen FuE-Aufwendungen nach der Wirtschaftsgliederung,Bundesministerium für Bildung und Forschung,https://www.datenportal.bmbf.de/portal/Tabelle-1.5.1.xls,,BMBF,xls,xls
